,Date,Inflation,Unemployment Rate (%),Interest Rate (%)
0,2000-01-01,0.2962085308056972,4.0,5.45
1,2000-01-02,0.2962085308056972,4.0,5.45
2,2000-01-03,0.2962085308056972,4.0,5.45
3,2000-01-04,0.2962085308056972,4.0,5.45
4,2000-01-05,0.2962085308056972,4.0,5.45
5,2000-01-06,0.2962085308056972,4.0,5.45
6,2000-01-07,0.2962085308056972,4.0,5.45
7,2000-01-08,0.2962085308056972,4.0,5.45
8,2000-01-09,0.2962085308056972,4.0,5.45
9,2000-01-10,0.2962085308056972,4.0,5.45
10,2000-01-11,0.2962085308056972,4.0,5.45
11,2000-01-12,0.2962085308056972,4.0,5.45
12,2000-01-13,0.2962085308056972,4.0,5.45
13,2000-01-14,0.2962085308056972,4.0,5.45
14,2000-01-15,0.2962085308056972,4.0,5.45
15,2000-01-16,0.2962085308056972,4.0,5.45
16,2000-01-17,0.2962085308056972,4.0,5.45
17,2000-01-18,0.2962085308056972,4.0,5.45
18,2000-01-19,0.2962085308056972,4.0,5.45
19,2000-01-20,0.2962085308056972,4.0,5.45
20,2000-01-21,0.2962085308056972,4.0,5.45
21,2000-01-22,0.2962085308056972,4.0,5.45
22,2000-01-23,0.2962085308056972,4.0,5.45
23,2000-01-24,0.2962085308056972,4.0,5.45
24,2000-01-25,0.2962085308056972,4.0,5.45
25,2000-01-26,0.2962085308056972,4.0,5.45
26,2000-01-27,0.2962085308056972,4.0,5.45
27,2000-01-28,0.2962085308056972,4.0,5.45
28,2000-01-29,0.2962085308056972,4.0,5.45
29,2000-01-30,0.2962085308056972,4.0,5.45
30,2000-01-31,0.2962085308056972,4.0,5.45
31,2000-02-01,0.41346721795627595,4.1,5.73
32,2000-02-02,0.41346721795627595,4.1,5.73
33,2000-02-03,0.41346721795627595,4.1,5.73
34,2000-02-04,0.41346721795627595,4.1,5.73
35,2000-02-05,0.41346721795627595,4.1,5.73
36,2000-02-06,0.41346721795627595,4.1,5.73
37,2000-02-07,0.41346721795627595,4.1,5.73
38,2000-02-08,0.41346721795627595,4.1,5.73
39,2000-02-09,0.41346721795627595,4.1,5.73
40,2000-02-10,0.41346721795627595,4.1,5.73
41,2000-02-11,0.41346721795627595,4.1,5.73
42,2000-02-12,0.41346721795627595,4.1,5.73
43,2000-02-13,0.41346721795627595,4.1,5.73
44,2000-02-14,0.41346721795627595,4.1,5.73
45,2000-02-15,0.41346721795627595,4.1,5.73
46,2000-02-16,0.41346721795627595,4.1,5.73
47,2000-02-17,0.41346721795627595,4.1,5.73
48,2000-02-18,0.41346721795627595,4.1,5.73
49,2000-02-19,0.41346721795627595,4.1,5.73
50,2000-02-20,0.41346721795627595,4.1,5.73
51,2000-02-21,0.41346721795627595,4.1,5.73
52,2000-02-22,0.41346721795627595,4.1,5.73
53,2000-02-23,0.41346721795627595,4.1,5.73
54,2000-02-24,0.41346721795627595,4.1,5.73
